qty,n_trades,total_qty,vol_share
172.38528,1,172.38528,0.001024287171450094
172.02208,1,172.02208,0.001022129092171685
171.62767,1,171.62767,0.001019785567809909
169.58646,1,169.58646,0.001007657007777198
169.15369,1,169.15369,0.0010050855541171848
169.128,1,169.128,0.0010049329080360659
168.89855,1,168.89855,0.0010035695509588885
167.8752,1,167.8752,0.0009974889605691322
167.4536,1,167.4536,0.0009949838773538869
167.38519,1,167.38519,0.0009945773955162328
167.16903,1,167.16903,0.0009932930056020786
164.8998,1,164.8998,0.0009798095853351643
164.43,1,164.43,0.0009770181050350643
164.29341,1,164.29341,0.0009762065079848498
164.13131,1,164.13131,0.000975243334386199
163.647,1,163.647,0.0009723656378682304
163.4117,1,163.4117,0.000970967520978887
163.04445,1,163.04445,0.0009687853772151327
81.432,2,162.864,0.0009677131707013968
162.864,1,162.864,0.0009677131707013968
162.63355,1,162.63355,0.000966343871775986
161.91535,1,161.91535,0.0009620764363746832
161.8461,1,161.8461,0.0009616649633845132
161.45749,1,161.45749,0.0009593559017424912
161.4164,1,161.4164,0.0009591117511985766
160.53463,1,160.53463,0.0009538724076817196
160.10343,1,160.10343,0.0009513102827234327
157.60224,1,157.60224,0.0009364485913402748
157.09444,1,157.09444,0.0009334313208073014
156.83635,1,156.83635,0.0009318977891967164
156.6,1,156.6,0.0009304934333667277
78.3,2,156.6,0.0009304934333667277
156.48861,1,156.48861,0.0009298315708919977
156.22271,1,156.22271,0.0009282516334467091
156.09888,1,156.09888,0.0009275158543799542
155.8953,1,155.8953,0.0009263062129165774
155.034,1,155.034,0.0009211884990330604
77.517,2,155.034,0.0009211884990330604
152.90068,1,152.90068,0.0009085126353595616
152.685,1,152.685,0.0009072310975325596
151.7993,1,151.7993,0.000901968402552145
151.69332,1,151.69332,0.0009013386854763583
151.66677,1,151.66677,0.0009011809294057589
150.49953,1,150.49953,0.0008942453664736835
75.168,2,150.336,0.0008932736960320587
148.01127,1,148.01127,0.0008794605031881848
147.72341,1,147.72341,0.0008777500827556884
147.65415,1,147.65415,0.0008773385503470358
147.56091,1,147.56091,0.000876784532417744
146.62902,1,146.62902,0.000871247383467424
146.5776,1,146.5776,0.0008709418536312571
145.57014,1,145.57014,0.0008649556792099313
143.44965,1,143.44965,0.0008523560494492682
142.93055,1,142.93055,0.0008492716360312564
141.68497,1,141.68497,0.0008418705887085684
140.9566,1,140.9566,0.0008375427247107311
140.52551,1,140.52551,0.0008349812533557498
140.4702,1,140.4702,0.0008346526097299549
139.374,1,139.374,0.0008281391556963876
139.02964,1,139.02964,0.0008260930208386982
137.46075,1,137.46075,0.0008167709145636361
137.025,1,137.025,0.0008141817541958868
136.85692,1,136.85692,0.0008131830483447994
136.72774,1,136.72774,0.0008124154803899954
134.0496,1,134.0496,0.000796502378961919
133.11,1,133.11,0.0007909194183617187
132.7968,1,132.7968,0.0007890584314949851
131.34443,1,131.34443,0.0007804286693760908
130.97851,1,130.97851,0.0007782544282704871
130.33055,1,130.33055,0.0007744043482891058
129.0384,1,129.0384,0.0007667265890941836
128.43529,1,128.43529,0.0007631430010060751
127.91546,1,127.91546,0.0007600542500388526
126.21856,1,126.21856,0.0007499715277714197
126.09998,1,126.09998,0.0007492669434078908
125.75818,1,125.75818,0.0007472360196816791
125.42193,1,125.42193,0.0007452380732131635
125.05234,1,125.05234,0.0007430420255245426
123.714,1,123.714,0.000735089812359715
123.27552,1,123.27552,0.0007324844307462881
122.148,1,122.148,0.0007257848780260476
120.582,1,120.582,0.0007164799436923803
120.2688,1,120.2688,0.0007146189568256469
120.22996,1,120.22996,0.0007143881754402576
119.69553,1,119.69553,0.0007112126734888261
119.4285,1,119.4285,0.0007096260217550335
119.39629,1,119.39629,0.0007094346348234323
119.04839,1,119.04839,0.0007073674658229963
118.8594,1,118.8594,0.0007062445159253464
116.66802,1,116.66802,0.0006932236685434104
115.93504,1,115.93504,0.0006888684126252166
57.942,2,115.884,0.0006885651406913785
115.38288,1,115.38288,0.000685587561704605
114.86474,1,114.86474,0.0006825088524608972
37.584,3,112.75200000000001,0.000669955272024044
111.44216,1,111.44216,0.0006621724015338711
110.47363,1,110.47363,0.0006564175432642754
110.38709,1,110.38709,0.000655903335718148
54.81,2,109.62,0.0006513454033567095
109.62,1,109.62,0.0006513454033567095
108.52604,1,108.52604,0.0006448452590631853
107.5842,1,107.5842,0.000639248988722942
107.16868,1,107.16868,0.0006367800319449563
106.6355,1,106.6355,0.0006336119573038167
103.69083,1,103.69083,0.0006161151750660645
103.57997,1,103.57997,0.0006154564617708982
102.44874,1,102.44874,0.0006087348647937115
101.08973,1,101.08973,0.0006006598336258972
100.26749,1,100.26749,0.0005957742083343809
100.06982,1,100.06982,0.0005945996831940642
49.329,2,98.658,0.0005862108630210385
98.525263,1,98.525263,0.0005854221599120678
98.22813,1,98.22813,0.0005836566407209021
98.164836,1,98.164836,0.0005832805573788107
97.817242,1,97.817242,0.000581215206583934
97.372986,1,97.372986,0.0005785755048551105
97.116943,1,97.116943,0.0005770541362078596
96.615657,1,96.615657,0.0005740755708742792
96.083952,1,96.083952,0.0005709162604592839
96.052463,1,96.052463,0.0005707291576002592
95.88001,1,95.88001,0.0005697044680468467
95.460154,1,95.460154,0.0005672097474149206
94.298542,1,94.298542,0.0005603076252047036
93.39944,1,93.39944,0.0005549652975742637
92.343076,1,92.343076,0.0005486885430069264
92.308121,1,92.308121,0.0005484808457019242
91.652911,1,91.652911,0.0005445876873208501
91.455503,1,91.455503,0.0005434147189447706
90.6714,1,90.6714,0.0005387556979193354
90.045,1,90.045,0.0005350337241858685
89.437265,1,89.437265,0.0005314226550496799
89.169892,1,89.169892,0.0005298339652619432
89.1054,1,89.1054,0.0005294507635856681
89.000573,1,89.000573,0.0005288278974608946
88.151766,1,88.151766,0.0005237844150873587
87.533675,1,87.533675,0.0005201118121708641
86.4432,1,86.4432,0.0005136323752184338
86.266907,1,86.266907,0.0005125848689678046
86.13,1,86.13,0.0005117713883517002
85.347,1,85.347,0.0005071189211848665
85.333232,1,85.333232,0.0005070371138183877
83.702766,1,83.702766,0.0004973491322964994
82.6065,1,82.6065,0.0004908352861009488
82.350685,1,82.350685,0.0004893152721950951
81.081566,1,81.081566,0.00048177435970683867
79.248372,1,79.248372,0.00047088179917626854
78.494289,1,78.494289,0.0004664011524348031
77.6736,1,77.6736,0.0004615247429498969
75.810468,1,75.810468,0.00045045429536691217
74.763283,1,74.763283,0.00044423208102451026
74.145319,1,74.145319,0.0004405602327227412
72.659441,1,72.659441,0.00043173137115323876
71.901149,1,71.901149,0.00042722571517255853
71.253,1,71.253,0.0004233745121818611
71.151588,1,71.151588,0.000422771937468805
69.892255,1,69.892255,0.0004152891719073617
69.259311,1,69.259311,0.0004115283147190547
68.904,1,68.904,0.0004094171106813602
68.643349,1,68.643349,0.00040786836199744914
68.610803,1,68.610803,0.00040767497860484154
68.268993,1,68.268993,0.0004056439954601475
68.121,1,68.121,0.00040476464351452655
68.072094,1,68.072094,0.00040447405148481884
67.673008,1,67.673008,0.00040210274304070264
67.40064,1,67.40064,0.00040048437372103957
66.082974,1,66.082974,0.0003926550023265913
65.1456,1,65.1456,0.00038708526828055875
64.3308,1,64.3308,0.00038224385033989967
63.928289,1,63.928289,0.00037985219106558373
63.6579,1,63.6579,0.0003782455806635748
63.460104,1,63.460104,0.0003770703068503807
63.423,1,63.423,0.00037684984051352473
62.436845,1,62.436845,0.00037099025716881356
62.417285,1,62.417285,0.00037087403461736625
62.2485,1,62.2485,0.0003698711397632743
61.869205,1,61.869205,0.00036761742643754737
61.359555,1,61.359555,0.00036458916348534203
61.247162,1,61.247162,0.00036392134133683387
61.074,1,61.074,0.0003628924390130238
60.38496,1,60.38496,0.0003587982679062102
60.189688,1,60.189688,0.0003576379913179574
60.1344,1,60.1344,0.00035730947841282345
59.0382,1,59.0382,0.0003507960243792564
58.658573,1,58.658573,0.0003485403383599159
58.626762,1,58.626762,0.0003483513222257599
58.533308,1,58.533308,0.00034779603274094606
57.427541,1,57.427541,0.000341225733045329
55.788729,1,55.788729,0.00033148816085808386
55.762235,1,55.762235,0.00033133073753098535
54.287378,1,54.287378,0.00032256736107086435
53.632559,1,53.632559,0.0003186765259524495
53.61984,1,53.61984,0.00031860095158476757
53.598264,1,53.598264,0.0003184727502672815
52.250816,1,52.250816,0.000310466418748743
52.24176,1,52.24176,0.0003104126093711404
51.678,1,51.678,0.0003070628330110201
51.650021,1,51.650021,0.00030689658603929497
51.09858,1,51.09858,0.00030362000730756324
50.508598,1,50.508598,0.0003001144238030641
50.379052,1,50.379052,0.0002993446811318066
